"animal_registration","phn","animal_name","sire","sire_phn","sire_name","dam","dam_phn","dam_name","sire_sire","sire_sire_phn","sire_sire_name","sire_dam","sire_dam_phn","sire_dam_name","dam_sire","dam_sire_phn","dam_sire_name","dam_dam","dam_dam_phn","dam_dam_name","sire_sire_sire","sire_sire_sire_phn","sire_sire_sire_name","sire_sire_dam","sire_sire_dam_phn","sire_sire_dam_name","sire_dam_sire","sire_dam_sire_phn","sire_dam_sire_name","sire_dam_dam","sire_dam_dam_phn","sire_dam_dam_name","dam_sire_sire","dam_sire_sire_phn","dam_sire_sire_name","dam_sire_dam","dam_sire_dam_phn","dam_sire_dam_name","dam_dam_sire","dam_dam_sire_phn","dam_dam_sire_name","dam_dam_dam","dam_dam_dam_phn","dam_dam_dam_name","sire_sire_sire_sire","sire_sire_sire_sire_phn","sire_sire_sire_sire_name","sire_sire_sire_dam","sire_sire_sire_dam_phn","sire_sire_sire_dam_name","sire_sire_dam_sire","sire_sire_dam_sire_phn","sire_sire_dam_sire_name","sire_sire_dam_dam","sire_sire_dam_dam_phn","sire_sire_dam_dam_name","dam_sire_sire_sire","dam_sire_sire_sire_phn","dam_sire_sire_sire_name","dam_sire_sire_dam","dam_sire_sire_dam_phn","dam_sire_sire_dam_name","dam_sire_dam_sire","dam_sire_dam_sire_phn","dam_sire_dam_sire_name","dam_sire_dam_dam","dam_sire_dam_dam_phn","dam_sire_dam_dam_name","sire_dam_sire_sire","sire_dam_sire_sire_phn","sire_dam_sire_sire_name","sire_dam_sire_dam","sire_dam_sire_dam_phn","sire_dam_sire_dam_name","sire_dam_dam_sire","sire_dam_dam_sire_phn","sire_dam_dam_sire_name","sire_dam_dam_dam","sire_dam_dam_dam_phn","sire_dam_dam_dam_name","dam_dam_sire_sire","dam_dam_sire_sire_phn","dam_dam_sire_sire_name","dam_dam_sire_dam","dam_dam_sire_dam_phn","dam_dam_sire_dam_name","dam_dam_dam_sire","dam_dam_dam_sire_phn","dam_dam_dam_sire_name","dam_dam_dam_dam","dam_dam_dam_dam_phn","dam_dam_dam_dam_name"
"AF114","HB502E","BIG AL","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AJ097","TOK 22","DAI-NI 2 MITSUMARU TOKKYU 22","AJ101","KO 2739","GODAI KO 2739","AJ108","KO 74","NAMIMARU KO 74","AJ099","TOK 9639","MITSUKO TOKKYU 9639","AJ092","KO 58","MITSUTAKE KO 58","AJ061","1KYU 48242","DAI 3 MITSU 1KYU 48242","AJ111","1KY 540","DAI 5 SHIGEKAWA 1KYU 540","AJ063","1KYU 33574","HATAURA 1KYU 33574","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ105","KO 2862","DAI-NI 2 MARUHANA KO 2862","AJ092","KO 58","MITSUTAKE KO 58","AJ091","KO 1753","MITSU KO 1753","AJ082","KO 22","MITSUYU KO 22","AJ081","KO 227","MARUTOSHI KO 227","AJ004","KO 47","SHIGEFUKU KO 47","AJ005","1KYU 26744","MITSU 1KYU 26744","AJ100","KO 48","SHIGENAMI KO 48","AJ086","KO 1842","DAI 2 TAMASHIGE KO 1842","AJ131","KO 40","SHIGETAKARA H 40","AJ132","2KYU 328","DAI 1 HATSUMARU 2KYUDAI 328","AJ083","KO 53","DAI 2 SHIGEKAWA KO 53","AJ020","KO 810","FUJIHANA KO 810","AJ007","KO 29","HISAHATA KO 29","AJ008","KO 884","URAYAMA KO 884","AJ082","KO 22","MITSUYU KO 22","AJ081","KO 227","MARUTOSHI KO 227","AJ078","KO 23","KIKUTAMA KO 23","AJ076","KO 1346","SACHI KO 1346"
"AF303272","GEORGE","GEORGE","AF161829","918","ACE MR PRIME CUT RHUB - 918 ET","AF34623","1213Z","HEARTBRAND 1213Z","AF40792","2142A","HEARTBRAND RHUBARB 2142A","AF21722","7228Z","MCC 7228Z","AF7269","S6386U","HEARTBRAND KC S6386U","AF409","B0153M","HEARTBRAND B0153M","AF6808","FJ101E","RUESHAW 430","AF3458","B3518R","HEARTBRAND BARBARA B3518R","AF109","HB 459","TAMAMARU","AF1408","H1146P","HEARTBRAND H1146P","AF110","HB 457","SHIGEMARU","AF230","C0062L","HEARTBRAND C0062L","AF114","HB502E","BIG AL","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ148","H39","RUEMEI H39","AJ147","14285","FB2 KIKUTAMA 14285","AF114","HB502E","BIG AL","AF6862","S2128J","HEARTBRAND S2128J","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF123","H0518E","HEARTBRAND H0518E","AF141","S0917J","HEARTBRAND S0917J","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF107","HB 830","HIKARI","AF147","T0930J","HEARTBRAND T0930J","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289"
"AF318636","1191","TRUMP 1191","AF144384","2368G","HB-SON OF TRUMP-2368G","AF127847","1263F","HEARTBRAND 1263F","AF88695","6684C","HEARTBRAND TRUMP 6684C ET","AF55271","3024A","HEARTBRAND 3024A","AF67045","4782B","HEARTBRAND 4782B","AF41583","2102A","HEARTBRAND 2102A","AF4533","C4037S","HEARTBRAND CHARLIE C4037S","AF52177","2636A","HEARTBRAND 2636A","AF6808","FJ101E","RUESHAW 430","AF3458","B3518R","HEARTBRAND BARBARA B3518R","AF5392","S4873S","HEARTBRAND S4873S","AF8010","V7474U","HEARTBRAND V7474U","AF114","HB502E","BIG AL","AF6877","U23F","ASHWOOD HSU23F","AF123","H0518E","HEARTBRAND H0518E","AF141","S0917J","HEARTBRAND S0917J","AF114","HB502E","BIG AL","AF1140","S0880N","HEARTBRAND S0880N","AF110","HB 457","SHIGEMARU","AF689","B0427N","HEARTBRAND B0427N","AF1208","S0947P","HEARTBRAND SAMSUNG S0947P","AF4751","S4348S","HEARTBRAND S4348S","AJ148","H39","RUEMEI H39","AJ147","14285","FB2 KIKUTAMA 14285","AF114","HB502E","BIG AL","AF6862","S2128J","HEARTBRAND S2128J","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF109","HB 459","TAMAMARU","EAF102188","31E","JVP MS HOMARE J31E"
"AP110757","733D","EL PADRINO 733D","AF7291","V7022U","HEARTBRAND V7022U","3A55457","174A","RANCHO ESPUELA 174A","AF114","HB502E","BIG AL","AF3717","P0273R","HEARTBRAND P0273R","AF3436","S3105R","HEARTBRAND S3105R","2A10755","1X","RANCHO ESPUELA R2 070X","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF274","B0018M","HEARTBRAND B0018M","AF530","T0273N","HEARTBRAND T0273N","AF110","HB 457","SHIGEMARU","AF146","T0923J","HEARTBRAND T0923J","AF14370","T0218T","PINE ISLAND T0218T","1A10622","R1 070","HEARTBRAND R1 070","AJ097","TOK 22","DAI-NI 2 MITSUMARU TOKKYU 22","AJ101","KO 2739","GODAI KO 2739","AJ108","KO 74","NAMIMARU KO 74","AJ099","TOK 9639","MITSUKO TOKKYU 9639","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF109","HB 459","TAMAMARU","AF115","T0504E","HEARTBRAND T0504E","AF114","HB502E","BIG AL","AF111","FJ117D","YAMATO 117 RINGO","AF109","HB 459","TAMAMARU","AF118","H0514E","HEARTBRAND H0514E","AF114","HB502E","BIG AL","AF503","T0218N","HEARTBRAND T0218N","AF2807","T2547R","HEARTBRAND T2547R","EAR0","","RED ANGUS COW"
"UAP330781","M1","LITTLE WORLDS ROSCOE","AF594","C0334N","HEARTBRAND C0334N","AP251302","K17","ARTESIAN 733D ARMANI K17","AF123","H0518E","HEARTBRAND H0518E","AF146","T0923J","HEARTBRAND T0923J","AP110757","733D","EL PADRINO 733D","AF21759","7209Z","MCC 7209Z","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF109","HB 459","TAMAMARU","AF115","T0504E","HEARTBRAND T0504E","AF7291","V7022U","HEARTBRAND V7022U","3A55457","174A","RANCHO ESPUELA 174A","AF5789","S5502S","HEARTBRAND S5502S","AF3022","B2728R","HEARTBRAND B2728R","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AF114","HB502E","BIG AL","AF3717","P0273R","HEARTBRAND P0273R","AF3436","S3105R","HEARTBRAND S3105R","2A10755","1X","RANCHO ESPUELA R2 070X","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF103","FJ352B","UME","AF110","HB 457","SHIGEMARU","AF813","H0554N","HEARTBRAND H0554N","AF114","HB502E","BIG AL","AF6908","S0006L","HEARTBRAND S0006L"
"X58793","H2","BIG HEADED JOE","EXX1","","CROSSBREED BULL","X58788","JOSEPHINE","Commercial Cow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
