"Year","Season","Reg No","Name","Tattoo","CED","CED Acc","BW","BW Acc","WW","WW Acc","YW","YW Acc","Milk","Milk Acc","Total Maternal","Growth Idx"
"2024","20240808","1T217774","ARTESIAN CATTLE 1073","1073","-3.883","0.186","2.121","0.076","41.839","0.051","77.366","0.009","27.296","0.039","48.2155","72.536"
"2024","20240808","1T217776","ARTESIAN CATTLE 1075","1075","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T217780","ARTESIAN CATTLE 1079","1079","0.456","0.196","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T217800","ARTESIAN CATTLE 1099","1099","-5.127","0.114","2.121","0.076","41.839","0.051","77.366","0.009","27.296","0.039","48.2155","72.536"
"2024","20240808","1T217806","ARTESIAN CATTLE 1105","1105","-7.271","0.09","2.363","0.096","42.654","0.075","78.975","0.012","26.476","0.044","47.803","84.247"
"2024","20240808","1T217834","ARTESIAN CATTLE 1133","1133","-0.483","0.127","0.9","0.089","41.103","0.061","76.96","0.01","26.9","0.041","47.4515","87.97"
"2024","20240808","1T217836","ARTESIAN CATTLE 1135","1135","-6.22","0.123","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T217837","ARTESIAN CATTLE 1136","1136","0.63","0.115","0.149","0.081","47.262","0.06","84.208","0.01","25.92","0.042","49.551003","86.447"
"2024","20240808","1T217838","ARTESIAN CATTLE 1137","1137","-6.22","0.123","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T217839","ARTESIAN CATTLE 1138","1138","-3.64","0.083","1.616","0.075","48.008","0.053","85.699","0.009","27.755","0.038","51.759","87.347"
"2024","20240808","1T217840","ARTESIAN CATTLE 1139","1139","-5.854","0.114","1.465","0.078","43.067","0.052","78.627","0.01","25.212","0.041","46.7455","74.453"
"2024","20240808","1T217841","ARTESIAN CATTLE 1140","1140","-6.252","0.117","2.544","0.082","46.818","0.065","84.155","0.015","25.414","0.05","48.822998","86.189"
"2024","20240808","1T217843","ARTESIAN CATTLE 1142","1142","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T217846","ARTESIAN CATTLE 1145","1145","-6.22","0.123","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T217848","ARTESIAN CATTLE 1147","1147","-5.854","0.114","1.465","0.078","43.067","0.052","78.627","0.01","25.212","0.041","46.7455","74.453"
"2024","20240808","1T217849","ARTESIAN CATTLE 1148","1148","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237183","ARTESIAN CATTLE C0271211214","1214","-6.22","0.123","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T237177","ARTESIAN CATTLE C0271211208","1208","-6.22","0.123","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T237179","ARTESIAN CATTLE C0271211210","1210","-6.22","0.123","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T237184","ARTESIAN CATTLE C0271211215","1215","-7.271","0.09","2.363","0.096","42.654","0.075","78.975","0.012","26.476","0.044","47.803","84.247"
"2024","20240808","1T237180","ARTESIAN CATTLE C0271211211","1211","-7.271","0.09","2.363","0.096","42.654","0.075","78.975","0.012","26.476","0.044","47.803","84.247"
"2024","20240808","1T237181","ARTESIAN CATTLE C0271211212","1212","-3.64","0.083","1.616","0.075","48.008","0.053","85.699","0.009","27.755","0.038","51.759","87.347"
"2024","20240808","1T237189","ARTESIAN CATTLE C0271211220","1220","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237185","ARTESIAN CATTLE C0271211216","1216","-3.64","0.083","1.616","0.075","48.008","0.053","85.699","0.009","27.755","0.038","51.759","87.347"
"2024","20240808","1T237187","ARTESIAN CATTLE C0271211218","1218","-7.271","0.09","2.363","0.096","42.654","0.075","78.975","0.012","26.476","0.044","47.803","84.247"
"2024","20240808","1T237188","ARTESIAN CATTLE C0271211219","1219","-6.22","0.123","1.959","0.057","39.716","0.049","73.687","0.01","25.529","0.031","45.387","56.68"
"2024","20240808","1T237192","ARTESIAN CATTLE C0271211223","1223","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237194","ARTESIAN CATTLE C0271211225","1225","-3.44","0.077","1.816","0.079","43.288","0.055","79.409","0.009","24.969","0.036","46.613","82.885"
"2024","20240808","1T237195","ARTESIAN CATTLE C0271211226","1226","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237205","ARTESIAN CATTLE C0271211236","1236","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
"2024","20240808","1T237197","ARTESIAN CATTLE C0271211228","1228","-5.493","0.112","1.69","0.076","43.625","0.045","79.223","0.008","25.834","0.028","47.6465","70.594"
