"animal_registration","phn","animal_name","sire","sire_phn","sire_name","dam","dam_phn","dam_name","sire_sire","sire_sire_phn","sire_sire_name","sire_dam","sire_dam_phn","sire_dam_name","dam_sire","dam_sire_phn","dam_sire_name","dam_dam","dam_dam_phn","dam_dam_name","sire_sire_sire","sire_sire_sire_phn","sire_sire_sire_name","sire_sire_dam","sire_sire_dam_phn","sire_sire_dam_name","sire_dam_sire","sire_dam_sire_phn","sire_dam_sire_name","sire_dam_dam","sire_dam_dam_phn","sire_dam_dam_name","dam_sire_sire","dam_sire_sire_phn","dam_sire_sire_name","dam_sire_dam","dam_sire_dam_phn","dam_sire_dam_name","dam_dam_sire","dam_dam_sire_phn","dam_dam_sire_name","dam_dam_dam","dam_dam_dam_phn","dam_dam_dam_name","sire_sire_sire_sire","sire_sire_sire_sire_phn","sire_sire_sire_sire_name","sire_sire_sire_dam","sire_sire_sire_dam_phn","sire_sire_sire_dam_name","sire_sire_dam_sire","sire_sire_dam_sire_phn","sire_sire_dam_sire_name","sire_sire_dam_dam","sire_sire_dam_dam_phn","sire_sire_dam_dam_name","dam_sire_sire_sire","dam_sire_sire_sire_phn","dam_sire_sire_sire_name","dam_sire_sire_dam","dam_sire_sire_dam_phn","dam_sire_sire_dam_name","dam_sire_dam_sire","dam_sire_dam_sire_phn","dam_sire_dam_sire_name","dam_sire_dam_dam","dam_sire_dam_dam_phn","dam_sire_dam_dam_name","sire_dam_sire_sire","sire_dam_sire_sire_phn","sire_dam_sire_sire_name","sire_dam_sire_dam","sire_dam_sire_dam_phn","sire_dam_sire_dam_name","sire_dam_dam_sire","sire_dam_dam_sire_phn","sire_dam_dam_sire_name","sire_dam_dam_dam","sire_dam_dam_dam_phn","sire_dam_dam_dam_name","dam_dam_sire_sire","dam_dam_sire_sire_phn","dam_dam_sire_sire_name","dam_dam_sire_dam","dam_dam_sire_dam_phn","dam_dam_sire_dam_name","dam_dam_dam_sire","dam_dam_dam_sire_phn","dam_dam_dam_sire_name","dam_dam_dam_dam","dam_dam_dam_dam_phn","dam_dam_dam_dam_name"
"AF330783","M452","ARTESIAN ADDISON ET","EAF124671","GK4","GK4 RUESHAMARU","AF91302","6875","MCC 6875","AF6808","FJ101E","RUESHAW 430","EAF80400","54","KAEDEMARU 2","AF11041","725Y","MCC 725Y","AF20799","7247Z","HEARTBRAND 7247Z","AJ148","H39","RUEMEI H39","AJ147","14285","FB2 KIKUTAMA 14285","AF109","HB 459","TAMAMARU","EAF80399","WSI 4E","KAEDEMARU","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5511","S4961S","HEARTBRAND S4961S","AF339","B0087M","HEARTBRAND B0087M","AJ038","H20","RYUEI H20","AJ146","H376","HARUMI H376","AJ145","H10","SOCHU H10","AJ154","1627","KIKUFUJI 1627","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF114","HB502E","BIG AL","AF102","FJ351B","NAMIKO"
"AF330784","M458","ARTESIAN ALBANY ET","EAF124671","GK4","GK4 RUESHAMARU","AF91302","6875","MCC 6875","AF6808","FJ101E","RUESHAW 430","EAF80400","54","KAEDEMARU 2","AF11041","725Y","MCC 725Y","AF20799","7247Z","HEARTBRAND 7247Z","AJ148","H39","RUEMEI H39","AJ147","14285","FB2 KIKUTAMA 14285","AF109","HB 459","TAMAMARU","EAF80399","WSI 4E","KAEDEMARU","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5511","S4961S","HEARTBRAND S4961S","AF339","B0087M","HEARTBRAND B0087M","AJ038","H20","RYUEI H20","AJ146","H376","HARUMI H376","AJ145","H10","SOCHU H10","AJ154","1627","KIKUFUJI 1627","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF114","HB502E","BIG AL","AF102","FJ351B","NAMIKO"
"AF330785","M456","ARTESIAN ZAVALLA M456 ET","EAF82294","21392139","RED EMPEROR","AF21694","7214Z","MCC 7214Z","AF114","HB502E","BIG AL","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF123","H0518E","HEARTBRAND H0518E","AF995","S0741N","HEARTBRAND S0741N","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF105","FJ355B","HARUKO","AJ097","TOK 22","DAI-NI 2 MITSUMARU TOKKYU 22","AJ101","KO 2739","GODAI KO 2739","AJ108","KO 74","NAMIMARU KO 74","AJ099","TOK 9639","MITSUKO TOKKYU 9639","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AJ092","KO 58","MITSUTAKE KO 58","AJ087","KO 933","FUKUMARU KO 933","AJ112","KO 65","DAI-JYUU 10 SHIGEKAWA KO 65","AJ115","KO 2402","MARUNAMI KO 2402","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AJ094","TOK 30","DAI-SAN 3 MITSUMARU TOKKYU 30","AJ122","TOK 6669","DAI-NANA 7 KIKUHIME TOKKYU 6669"
"AF330790","M440","ARTESIAN LOUISE ET","EAF124671","GK4","GK4 RUESHAMARU","AF91302","6875","MCC 6875","AF6808","FJ101E","RUESHAW 430","EAF80400","54","KAEDEMARU 2","AF11041","725Y","MCC 725Y","AF20799","7247Z","HEARTBRAND 7247Z","AJ148","H39","RUEMEI H39","AJ147","14285","FB2 KIKUTAMA 14285","AF109","HB 459","TAMAMARU","EAF80399","WSI 4E","KAEDEMARU","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5511","S4961S","HEARTBRAND S4961S","AF339","B0087M","HEARTBRAND B0087M","AJ038","H20","RYUEI H20","AJ146","H376","HARUMI H376","AJ145","H10","SOCHU H10","AJ154","1627","KIKUFUJI 1627","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF114","HB502E","BIG AL","AF102","FJ351B","NAMIKO"
"AF330794","M444","ARTESIAN ITASCA ET","EAF97439","1090D","SOR MR HIROMITSU 1090D","AF106012","7A07","CROSSWINDS 7A07","EAF97014","UMEMARU","WSI UMEMARU","EAF80400","54","KAEDEMARU 2","AF11041","725Y","MCC 725Y","AF21694","7214Z","MCC 7214Z","AF107","HB 830","HIKARI","EAF80399","WSI 4E","KAEDEMARU","AF109","HB 459","TAMAMARU","EAF80399","WSI 4E","KAEDEMARU","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF123","H0518E","HEARTBRAND H0518E","AF995","S0741N","HEARTBRAND S0741N","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF105","FJ355B","HARUKO"
"AF330795","M445","ARTESIAN NAVASOTA ET","EAF97439","1090D","SOR MR HIROMITSU 1090D","AF21759","7209Z","MCC 7209Z","EAF97014","UMEMARU","WSI UMEMARU","EAF80400","54","KAEDEMARU 2","AF5789","S5502S","HEARTBRAND S5502S","AF3022","B2728R","HEARTBRAND B2728R","AF107","HB 830","HIKARI","EAF80399","WSI 4E","KAEDEMARU","AF109","HB 459","TAMAMARU","EAF80399","WSI 4E","KAEDEMARU","AF110","HB 457","SHIGEMARU","AF813","H0554N","HEARTBRAND H0554N","AF114","HB502E","BIG AL","AF6908","S0006L","HEARTBRAND S0006L","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF107","HB 830","HIKARI","AF148","T0925J","HEARTBRAND T0925J","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF110","HB 457","SHIGEMARU","AF105","FJ355B","HARUKO"
"AF330796","M446","ARTESIAN TULIA ET","EAF97439","1090D","SOR MR HIROMITSU 1090D","AF21759","7209Z","MCC 7209Z","EAF97014","UMEMARU","WSI UMEMARU","EAF80400","54","KAEDEMARU 2","AF5789","S5502S","HEARTBRAND S5502S","AF3022","B2728R","HEARTBRAND B2728R","AF107","HB 830","HIKARI","EAF80399","WSI 4E","KAEDEMARU","AF109","HB 459","TAMAMARU","EAF80399","WSI 4E","KAEDEMARU","AF110","HB 457","SHIGEMARU","AF813","H0554N","HEARTBRAND H0554N","AF114","HB502E","BIG AL","AF6908","S0006L","HEARTBRAND S0006L","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF107","HB 830","HIKARI","AF148","T0925J","HEARTBRAND T0925J","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF110","HB 457","SHIGEMARU","AF105","FJ355B","HARUKO"
"AF330797","M448","ARTESIAN SONORA ET","EAF97439","1090D","SOR MR HIROMITSU 1090D","AF21759","7209Z","MCC 7209Z","EAF97014","UMEMARU","WSI UMEMARU","EAF80400","54","KAEDEMARU 2","AF5789","S5502S","HEARTBRAND S5502S","AF3022","B2728R","HEARTBRAND B2728R","AF107","HB 830","HIKARI","EAF80399","WSI 4E","KAEDEMARU","AF109","HB 459","TAMAMARU","EAF80399","WSI 4E","KAEDEMARU","AF110","HB 457","SHIGEMARU","AF813","H0554N","HEARTBRAND H0554N","AF114","HB502E","BIG AL","AF6908","S0006L","HEARTBRAND S0006L","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF107","HB 830","HIKARI","AF148","T0925J","HEARTBRAND T0925J","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF110","HB 457","SHIGEMARU","AF105","FJ355B","HARUKO"
"AF330798","M449","ARTESIAN KEMAH ET","EAF124671","GK4","GK4 RUESHAMARU","AF91302","6875","MCC 6875","AF6808","FJ101E","RUESHAW 430","EAF80400","54","KAEDEMARU 2","AF11041","725Y","MCC 725Y","AF20799","7247Z","HEARTBRAND 7247Z","AJ148","H39","RUEMEI H39","AJ147","14285","FB2 KIKUTAMA 14285","AF109","HB 459","TAMAMARU","EAF80399","WSI 4E","KAEDEMARU","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5511","S4961S","HEARTBRAND S4961S","AF339","B0087M","HEARTBRAND B0087M","AJ038","H20","RYUEI H20","AJ146","H376","HARUMI H376","AJ145","H10","SOCHU H10","AJ154","1627","KIKUFUJI 1627","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF114","HB502E","BIG AL","AF102","FJ351B","NAMIKO"
"AF330799","M450","ARTESIAN EMORY ET","EAF124671","GK4","GK4 RUESHAMARU","AF91302","6875","MCC 6875","AF6808","FJ101E","RUESHAW 430","EAF80400","54","KAEDEMARU 2","AF11041","725Y","MCC 725Y","AF20799","7247Z","HEARTBRAND 7247Z","AJ148","H39","RUEMEI H39","AJ147","14285","FB2 KIKUTAMA 14285","AF109","HB 459","TAMAMARU","EAF80399","WSI 4E","KAEDEMARU","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5511","S4961S","HEARTBRAND S4961S","AF339","B0087M","HEARTBRAND B0087M","AJ038","H20","RYUEI H20","AJ146","H376","HARUMI H376","AJ145","H10","SOCHU H10","AJ154","1627","KIKUFUJI 1627","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ97002","CFB154","DAI-SAN NAMIAKI NI","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF114","HB502E","BIG AL","AF102","FJ351B","NAMIKO"
"AF330800","M428","ARTESIAN ROWENA ET","EAF82294","21392139","RED EMPEROR","AF21694","7214Z","MCC 7214Z","AF114","HB502E","BIG AL","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF123","H0518E","HEARTBRAND H0518E","AF995","S0741N","HEARTBRAND S0741N","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF105","FJ355B","HARUKO","AJ097","TOK 22","DAI-NI 2 MITSUMARU TOKKYU 22","AJ101","KO 2739","GODAI KO 2739","AJ108","KO 74","NAMIMARU KO 74","AJ099","TOK 9639","MITSUKO TOKKYU 9639","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AJ092","KO 58","MITSUTAKE KO 58","AJ087","KO 933","FUKUMARU KO 933","AJ112","KO 65","DAI-JYUU 10 SHIGEKAWA KO 65","AJ115","KO 2402","MARUNAMI KO 2402","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AJ094","TOK 30","DAI-SAN 3 MITSUMARU TOKKYU 30","AJ122","TOK 6669","DAI-NANA 7 KIKUHIME TOKKYU 6669"
"AF330801","M459","ARTESIAN M459","AF178219","0A06","0A06","AF237290","J13","ARTESIAN S5296S J13","AF67964","82X","ANIMAE / COMMACHE 82X","AF91302","6875","MCC 6875","AF5734","S5296S","HEARTBRAND S5296S","AF21704","7224Z","MCC 7224Z","AF11041","725Y","MCC 725Y","AF13782","9082X","HEARTBRAND 9082X","AF11041","725Y","MCC 725Y","AF20799","7247Z","HEARTBRAND 7247Z","AF110","HB 457","SHIGEMARU","AF138","B0905J","HEARTBRAND B0905J","AF109","HB 459","TAMAMARU","AF643","C0383N","HEARTBRAND C0383N","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5112","B4643S","HEARTBRAND B4643S","AF2018","B1758P","HEARTBRAND B1758P","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF114","HB502E","BIG AL","AF106","FJ357B","FUYUKO","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5511","S4961S","HEARTBRAND S4961S","AF339","B0087M","HEARTBRAND B0087M","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF123","H0518E","HEARTBRAND H0518E","AF149","S0928J","HEARTBRAND S0928J"
"AF91289","6871","MCC 6871","AF6971","S5394S","HEARTBRAND JOE S5394S","AF21701","7221Z","MCC 7221Z","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF109","HB 459","TAMAMARU","AF643","C0383N","HEARTBRAND C0383N","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF114","HB502E","BIG AL","AF106","FJ357B","FUYUKO","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF123","H0518E","HEARTBRAND H0518E","AF149","S0928J","HEARTBRAND S0928J","AJ100","KO 48","SHIGENAMI KO 48","AJ086","KO 1842","DAI 2 TAMASHIGE KO 1842","AJ112","KO 65","DAI-JYUU 10 SHIGEKAWA KO 65","AJ084","1KYU 53244","DAI-NI 2 AKIBARE 1KYU 53244","AJ116","KO 70","TAMANAMI KO 70","AJ133","KO 2030","FUJIMITSU KO 2030","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AJ094","TOK 30","DAI-SAN 3 MITSUMARU TOKKYU 30","AJ106","1KY 85689","SAKAE 1KYU 85689","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME"
"AF91302","6875","MCC 6875","AF11041","725Y","MCC 725Y","AF20799","7247Z","HEARTBRAND 7247Z","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5511","S4961S","HEARTBRAND S4961S","AF339","B0087M","HEARTBRAND B0087M","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF114","HB502E","BIG AL","AF102","FJ351B","NAMIKO","AJ116","KO 70","TAMANAMI KO 70","AJ133","KO 2030","FUJIMITSU KO 2030","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF114","HB502E","BIG AL","AF106","FJ357B","FUYUKO","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AJ107","TOK 221","HARUHIME TOKKYU 221","AJ095","TOK 2923","NORIKO TOKKYU 2923","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AJ108","KO 74","NAMIMARU KO 74","AJ096","TOK 1957","SAKAE TOKKYU 1957"
"U341942","G990M","ARTESIAN G990M","AF1","","FULLBLOOD AKAUSHI BULL","AF0","","FULLBLOOD AKAUSHI COW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U341974","M401","ARTESIAN LENORAH M401","AF1","","FULLBLOOD AKAUSHI BULL","AF21759","7209Z","MCC 7209Z","","","","","","","AF5789","S5502S","HEARTBRAND S5502S","AF3022","B2728R","HEARTBRAND B2728R","","","","","","","","","","","","","AF110","HB 457","SHIGEMARU","AF813","H0554N","HEARTBRAND H0554N","AF114","HB502E","BIG AL","AF6908","S0006L","HEARTBRAND S0006L","","","","","","","","","","","","","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF107","HB 830","HIKARI","AF148","T0925J","HEARTBRAND T0925J","","","","","","","","","","","","","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF110","HB 457","SHIGEMARU","AF105","FJ355B","HARUKO"
"U341976","M403","ARTESIAN AZLE M403","AF1","","FULLBLOOD AKAUSHI BULL","AF237291","J11","ARTESIAN S5296S J11","","","","","","","AF5734","S5296S","HEARTBRAND S5296S","AF21704","7224Z","MCC 7224Z","","","","","","","","","","","","","AF110","HB 457","SHIGEMARU","AF138","B0905J","HEARTBRAND B0905J","AF109","HB 459","TAMAMARU","AF643","C0383N","HEARTBRAND C0383N","","","","","","","","","","","","","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF114","HB502E","BIG AL","AF106","FJ357B","FUYUKO","","","","","","","","","","","","","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF123","H0518E","HEARTBRAND H0518E","AF149","S0928J","HEARTBRAND S0928J"
"U341977","M404","ARTESIAN BROOKELAND M404","AF1","","FULLBLOOD AKAUSHI BULL","AF168517","3299G","HEARTBRAND 3299G","","","","","","","AF66995","4820B","HEARTBRAND 4820B","AF8244","V7225U","HEARTBRAND V7225U","","","","","","","","","","","","","AF6432","T6023T","HEARTBRAND T6023T","AF4033","S3640S","HEARTBRAND S3640S","AF109","HB 459","TAMAMARU","AF1430","B1172P","HEARTBRAND B1172P","","","","","","","","","","","","","AF109","HB 459","TAMAMARU","AF346","B0102M","HEARTBRAND B0102M","AF110","HB 457","SHIGEMARU","AF138","B0905J","HEARTBRAND B0905J","","","","","","","","","","","","","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF114","HB502E","BIG AL","AF6877","U23F","ASHWOOD HSU23F"
"U341978","M405","ARTESIAN CELINA M405","AF1","","FULLBLOOD AKAUSHI BULL","AF173208","3558G","HEARTBRAND 3558G","","","","","","","AF37027","1779A","HEARTBRAND 1779A","AF77866","6279B","HEARTBRAND 6279B","","","","","","","","","","","","","AF6971","S5394S","HEARTBRAND JOE S5394S","AF1266","H1010P","HEARTBRAND H1010P","AF9078","8015W","HEARTBRAND 8015W","AF1534","T1267P","HEARTBRAND T1267P","","","","","","","","","","","","","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF107","HB 830","HIKARI","AF144","S0919J","HEARTBRAND S0919J","","","","","","","","","","","","","AF3812","B3314R","HEARTBRAND B3314R","AF1491","T1244P","HEARTBRAND T1244P","AF109","HB 459","TAMAMARU","AF156","S0946J","HEARTBRAND S0946J"
"U341980","M407","ARTESIAN AVERY M407","AF1","","FULLBLOOD AKAUSHI BULL","AF251294","K02","ARTESIAN K02","","","","","","","AF112600","9254E","HEARTBRAND 9254E ET","AF106012","7A07","CROSSWINDS 7A07","","","","","","","","","","","","","AF6971","S5394S","HEARTBRAND JOE S5394S","AF6941","P0395S","HEARTBRAND P0395S","AF11041","725Y","MCC 725Y","AF21694","7214Z","MCC 7214Z","","","","","","","","","","","","","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF594","C0334N","HEARTBRAND C0334N","AF655","H0395N","HEARTBRAND H0395N","","","","","","","","","","","","","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF123","H0518E","HEARTBRAND H0518E","AF995","S0741N","HEARTBRAND S0741N"
"U341982","M409","ARTESIAN HARPER M409","AF1","","FULLBLOOD AKAUSHI BULL","AF168578","3300G","HEARTBRAND 3300G","","","","","","","AF105176","9137E","HEARTBRAND 9137E","AF9276","8541W","HEARTBRAND 8541W","","","","","","","","","","","","","AF20747","344Y","HEARTBRAND 344Y","AF20018","91Y","HEARTBRAND 91Y","AF114","HB502E","BIG AL","AF6051","S5595T","HEARTBRAND S5595T","","","","","","","","","","","","","AF3812","B3314R","HEARTBRAND B3314R","AF5307","T4795S","HEARTBRAND T4795S","AF4533","C4037S","HEARTBRAND CHARLIE C4037S","AF3747","P0387R","HEARTBRAND P0387R","","","","","","","","","","","","","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF110","HB 457","SHIGEMARU","AF138","B0905J","HEARTBRAND B0905J"
